"ID","Reference","Created","Status","Author","Salesperson","Supervisor","Property Branch","Branch","Property ID","Property","Property Ref","Property Account Manager","Property Certification Date","Client","Severity","Date","Due Date","Review Date","Expiry Date","Submitted Date","Last Actioned","Date Authorised","Authorisation Note","Authorisation Ref","Authorisation Name","Description","Estimated Time (mins)","Subtotal","Tax","Total","Total material cost","Total labour cost","Total Cost","Subtotal material sell","Subtotal labour sell","Subtotal margin","Tags","Service Group","Scope of Works"
26601,"QD-2787","2026-04-20 14:43:43","FINALISED","Casper Tavitian","","Casper Tavitian","","","314","Goodman AU122 - Showground Business Park 12 - 20 Anella Ave, Castlehill, NSW, 2019","39636 AU122","","2021-05-20","Goodman Property Services (Aust) Pty Limited SC01822","","2026-04-20","2026-05-20","","2026-07-19","","2026-04-20 15:14:28","","","","","12-14 Anella APFS",0,1595.0000,159.5000,1754.5000,151.0000,1050.0000,1201.0000,295.0000,1300.0000,24.7022,"","R DETECTION","Scope of Works
LOT 14

Defects Identified during the 2026 APFS Inspection*

Dear Customer,

We hope you're doing well. Following our routine annual testing, we have identified the following defect(s) that we wanted to bring to your attention, please see below:

If you have any questions or need further clarification, feel free to reach out.
Thank you for your understanding and continued support."
26567,"QD-2782","2026-04-20 11:43:24","FINALISED","Casper Tavitian","","Casper Tavitian","","","314","Goodman AU122 - Showground Business Park 12 - 20 Anella Ave, Castlehill, NSW, 2019","39636 AU122","","2021-05-20","Goodman Property Services (Aust) Pty Limited SC01822","","2026-04-20","2026-05-20","","2026-07-19","","2026-04-20 14:40:38","","","","","16-20 Anella Avenue APFS",0,1501.0000,150.1000,1651.1000,208.0000,945.0000,1153.0000,331.0000,1170.0000,23.1845,"","R DETECTION","**LOTS 16-18-20**

**Defects Identified during the 2026 APFS Inspection***


Dear Customer,

We hope you're doing well. Following our routine annual testing, we have identified the following defect(s) that we wanted to bring to your attention, please see below: 


If you have any questions or need further clarification, feel free to reach out.
Thank you for your understanding and continued support."
26470,"QD-2773","2026-04-20 08:29:11","FINALISED","Casper Tavitian","","Casper Tavitian","","","37","Sircel - 78-82 Marple Avenue, Villawood, NSW 2163","39076","","2019-05-15","George Vasili & Nick Vasili C/- CBRE","","2026-04-20","2026-05-20","","2026-07-19","","2026-04-20 11:06:32","","","","","15.12.2025- 2025 APFS - Dry Fire",0,1437.0000,143.7000,1580.7000,366.0000,210.0000,576.0000,1177.0000,260.0000,59.9165,"","R DETECTION","Dear Customer,

We hope you're doing well. Following our routine annual testing, we have identified the following defect(s) that we wanted to bring to your attention, please see below: 


If you have any questions or need further clarification, feel free to reach out.
Thank you for your understanding and continued support."
26041,"QD-2741-FIP-Building-G","2026-04-14 13:15:27","FINALISED","Casper Tavitian","","Casper Tavitian","","","307","Goodman AU002 - Slough Business Park - 2 Slough Avenue, Silverwater, NSW, 2128","39A415 AU002","","2021-04-25","Goodman Property Services (Aust) Pty Limited SC01822","","2026-04-14","2026-05-14","","2026-07-13","","2026-04-14 13:32:14","","","","","FIP-Building-G",120,260.0000,26.0000,286.0000,200.0000,0.0000,200.0000,260.0000,0.0000,23.0769,"","R DETECTION","**BUILDING G**

Dear Customer,

We hope you're doing well. Following our routine annual testing, we have identified the following defect(s) that we wanted to bring to your attention, please see below: 


If you have any questions or need further clarification, feel free to reach out.
Thank you for your understanding and continued support."
25939,"QD-2735-FIP-Building-A","2026-04-14 09:35:04","FINALISED","Casper Tavitian","","","","","307","Goodman AU002 - Slough Business Park - 2 Slough Avenue, Silverwater, NSW, 2128","39A415 AU002","","2021-04-25","Goodman Property Services (Aust) Pty Limited SC01822","","2026-04-14","2026-05-14","","2026-07-13","","2026-04-14 13:53:39","","","","","FIP Building A",120,2023.0000,202.3000,2225.3000,705.0000,840.0000,1545.0000,983.0000,1040.0000,23.6283,"","R DETECTION","**BUILDING A**

Dear Customer,

We hope you're doing well. Following our routine annual testing, we have identified the following defect(s) that we wanted to bring to your attention, please see below: 


If you have any questions or need further clarification, feel free to reach out.
Thank you for your understanding and continued support."
25906,"QD-2734","2026-04-14 09:17:23","FINALISED","Casper Tavitian","","Casper Tavitian","","","467","40 Ricketty Road, Mascot, NSW 2020","39A578","","2023-04-27","Henderson & Horning Pty Ltd","","2026-04-14","2026-05-14","","2026-07-13","","2026-04-14 16:12:33","","","","","Defects Identified - Annual Inspection 13th of February 2026",0,1594.6000,159.4600,1754.0600,430.8900,860.0000,1290.8900,584.6000,1010.0000,19.0462,"","R DETECTION",""
25873,"QD-2733","2026-04-14 08:12:52","FINALISED","Casper Tavitian","","","","","467","40 Ricketty Road, Mascot, NSW 2020","39A578","","2023-04-27","Henderson & Horning Pty Ltd","","2026-04-14","2026-05-14","","2026-07-13","","2026-04-14 08:45:02","","","","","FIP Fault - Battery Replacement as per Call-Out",0,180.0300,18.0000,198.0300,126.7800,0.0000,126.7800,180.0300,0.0000,29.5784,"","R DETECTION","**Scope of Works**

1. FIP Batteries are due for replacement with correct size. 2x 12v 55Ah Batteries are due for replacement to replace temporary 33Ah batteries that were installed to remove intermittent fault on Fire Panel during call out."
25213,"QD-2682 - FIP","2026-04-09 08:13:13","FINALISED","Jamie Wright","","","","","341","B Sika Australia - Block H - 18 Hargraves Place, Wetherill Park, NSW, 2164","39A242 B","","2022-04-18","Sika Australia Pty Ltd","","2026-04-09","2026-05-09","","2026-07-08","","2026-04-09 08:20:22","","","","","FIP APFS Inspection report Feb 2026",0,1522.0100,152.2000,1674.2100,162.0000,1050.0000,1212.0000,222.0000,1300.0100,20.3685,"","R DETECTION","Dear Customer,

We hope you're doing well. Following our routine annual testing, we have identified the following defect(s) that we wanted to bring to your attention, please see below:

18 Hargraves Place Wetherill Park
1.  Automatic Fire Alarm System
At the time of assessment, the following non-compliances were observed that are required to be rectified:
-  Block H is programmed in the panel as block E. All zones need to be checked and confirmed before the block plan is updated.
-  There is a fault on the fire panel for zone 12, the fault needs to be cleared.

**Kindly note further quote may be required after initial investigation.** If you have any questions or need further clarification, feel free to reach out.

Thank you for your understanding and continued support."
25180,"QD-2681 - FIP","2026-04-09 07:25:21","FINALISED","Jamie Wright","","","","","212","Sika Australia - 55 Elizabeth Street, Wetherill Park, NSW 2164","39A242 A","","2022-04-18","Sika Australia Pty Ltd","","2026-04-09","2026-05-09","","2026-07-08","","2026-04-09 08:14:15","","","","","FIP APFS Inspection report Feb 2026",120,6781.0200,678.1000,7459.1200,806.0000,4620.0000,5426.0000,1061.0000,5720.0200,19.9825,"","R DETECTION","Dear Customer,

We hope you're doing well. Following our routine annual testing, we have identified the following defect(s) that we wanted to bring to your attention, please see below:

6.  Automatic Fire Alarm System
At the time of assessment, the following non-compliances were observed that are required to be rectified:
-  There is a detector in the ground floor office to the left of reception that needs to be installed on the ceiling.
-  The top floor area above the labs has been gutted. There are speakers and detectors disconnected or hanging from cables. The disconnected detectors are causing faults on the fire panel. The area needs to be re-instated to achieve compliance for the AFSS.
-  There is a detector missing from the small office in the add mixture shed. 1 x detector is required.

**Kindly note further quote may be required after initial investigation.** If you have any questions or need further clarification, feel free to reach out.

Thank you for your understanding and continued support."
24984,"QD-2663 - FIP","2026-04-07 11:36:25","FINALISED","Jamie Wright","","","","","198","1 YORK - 1 York Street, Sydney, NSW 2000","39A193","","2018-04-27","York II Sub Trust","","2026-04-07","2026-05-07","","2026-07-06","","2026-04-07 12:59:59","","","","","FIP AFSS inspection report Feb 2026",0,5487.2800,548.7300,6036.0100,2480.2000,1995.0000,4475.2000,3017.2800,2470.0000,18.4441,"","R DETECTION","Dear Customer,

We hope you're doing well. Following our routine annual testing, we have identified the following defect(s) that we wanted to bring to your attention, please see below:

Section 2 – Assessment results and observations
5.  Paths of Travel Stairways, Passageways or ramps
-  Level 1 requires a break glass door release to access the fire stairs within the tenancy.

7.  Automatic Fire Detection System
At the time of assessment, the following non-compliances were observed that are required to be rectified:
-
The zone block plan in the fire control room needs to be updated to include all zones.
-  The batteries in the fire panel are out of date and need to be replaced.
-  L7, the FER requires a smoke detector to be installed 1 meter inside the front door. Polish investment, the closest detector is 2.5meters away for the next tenancy. 1 x detector required.
-  B1, the detector in the MDF room was found to have tape over the detector preventing the detector from activating. The tape needs to be removed.

**Kindly note further quote may be required after initial investigation.** If you have any questions or need further clarification, feel free to reach out.

Thank you for your understanding and continued support."
