Task Ref,Task Name,Task Client,Task Property,Task Category,Task Service Group,Task Assigned To,Quoted Cost,Quoted Sell,Quoted Profit,Quoted Margin,Estimated Cost,Estimated Sell,Estimated Hours,Committed Cost,Committed Hours,Revised Cost,Revised Sell,Revised Profit,Revised Margin,Revised Hours,Uninvoiced,Left to be incurred,Billable,Net Billable,Actual Cost,Invoiced,Invoiced Credit,Net Invoiced,Actual Profit,Actual Margin,Actual Hours,Cash Position,Cumulative Actual Cost,Cumulative Net Invoiced,Activity Actual Cost,Activity Net Invoiced
T-05579,39A188 (Quote QD-0273),N G P Investments (no 2) Pty Ltd  C/o Mercer Property Pty Ltd,"1 Wentworth Street, Parramatta, NSW 2150",Repair,R DETECTION,Gordon Jenkins,2115.00,2351.01,236.01,10.04%,920.33,2195.01,0.00,847.17,6.52,2115.00,2351.01,236.01,10.04%,6.52,2351.01,1767.50,156.00,156.00,347.50,0.00,0.00,0.00,-347.50,,1.75,-227.50,347.50,0.00,0.00,0.00
T-12370,APFS Report 2025 - Fire Detection (Quote QD-0791),Sterilisation Technologies Australia Pty Ltd,"Frutex - 20 St Albans Road, Kingsgrove, NSW 2208",Repair,R DETECTION,John Minai,7935.00,10090.05,2155.05,21.36%,6918.83,10090.05,0.02,3.00,0.00,7938.00,10090.05,2152.05,21.33%,0.02,10090.05,6921.83,0.00,0.00,1016.17,0.00,0.00,0.00,-1016.17,,7.82,-1016.17,1016.17,0.00,0.00,0.00
T-12542,APFS Report and Annual testing 2025 - Detection and Warning System. (Quote QD-0907),C/- Steven Krulis Real Estate Consultants,"Pittking Properties - 175-181 Oxford Street, Bondi Junction, NSW  2022",Repair,R DETECTION,Nu Unasa,8792.55,11120.02,2327.47,20.93%,4868.01,0.00,0.00,8719.44,0.00,16156.99,11120.02,-5036.97,-45.30%,0.00,11120.02,13587.45,11120.02,11120.02,2569.54,0.00,0.00,0.00,-2569.54,,9.40,-1221.99,2569.54,0.00,0.00,0.00
T-13630,APFS Report 2025 - (Quote QD-0948),Jones Lang LaSalle (NSW) Pty Ltd,"49 Hotham Parade, Artarmon, NSW 2064",Repair,R DETECTION,John Minai,1698.00,2110.00,412.00,19.53%,1378.83,2110.00,3.00,18.00,0.00,1698.00,2110.00,412.00,19.53%,3.00,2110.00,1396.83,0.00,0.00,301.17,0.00,0.00,0.00,-301.17,,2.32,-301.17,301.17,0.00,0.00,0.00
T-15516,APFS Report 2025 - Detection (Quote QD-0836),AM Property Plus C/- IOOF Investment Services Ltd C-/ Colliers,"88 Phillip Street, Parramatta, NSW 2150",Repair,R DETECTION,Gordon Jenkins,2350.00,2780.00,430.00,15.47%,0.00,0.00,0.00,156.00,0.00,3022.16,2780.00,-242.15,-8.71%,0.00,2780.00,156.00,2780.00,2780.00,2866.16,0.00,0.00,0.00,-2866.16,,8.82,-1146.16,2866.16,0.00,0.00,0.00
T-17757,Attend site to assist Shannon with FFFT. 2025.,Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU079 Greystanes Park East - (BLDG 3) Iron Mountain 3 Reconciliation Rise PEMULWUY, 2145, NSW",Callout,R DETECTION,Rory Mortel,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,1372.00,1500.00,128.00,8.53%,0.00,1500.00,0.00,1500.00,1500.00,1372.00,0.00,0.00,0.00,-1372.00,,4.40,-572.00,1372.00,0.00,0.00,0.00
T-17796,Inspection of fail safe devices,Primary Connect,"MONDC - 13 Bushmaster Avenue, Moorebank, NSW 2170",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,1040.00,2720.00,1680.00,61.76%,0.00,2720.00,0.00,2720.00,2720.00,1040.00,0.00,0.00,0.00,-1040.00,,8.00,-1040.00,1040.00,0.00,0.00,0.00
T-19009,Inspection/Defect Report 2025 (Quote QD-1503),Primary Connect,"MONDC - 13 Bushmaster Avenue, Moorebank, NSW 2170",Repair,R DETECTION,Nu Unasa,11293.60,14387.38,3093.78,21.50%,8693.60,14387.38,0.03,0.00,0.00,11293.60,14387.38,3093.78,21.50%,0.03,14387.38,8693.60,0.00,0.00,2600.00,0.00,0.00,0.00,-2600.00,,20.00,-2600.00,2600.00,0.00,0.00,0.00
T-19012,QD-1134 (Quote QD-1522),One Funds Management Limited ATF Ben Lee Property Trust No 5,"Ontex - 5 Wonderland Drive, Eastern Creek, NSW 2766",Repair,R DETECTION,Gordon Jenkins,3735.51,4728.67,993.16,21.00%,1717.31,4728.67,0.02,1168.86,0.00,3735.51,4728.67,993.16,21.00%,0.02,4728.67,2886.17,0.00,0.00,849.34,0.00,0.00,0.00,-849.34,,6.53,-849.34,849.34,0.00,0.00,0.00
T-22078,FAS Fault,Goodman Property Services (Aust) Pty Limited SC01822,"AU282 - 3 McPherson Street, Banksmeadow NSW 2019",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,327.17,0.52,1269.66,460.00,-809.66,-176.01%,0.52,460.00,327.17,460.00,460.00,942.49,0.00,0.00,0.00,-942.49,,7.25,-942.49,942.49,0.00,0.00,0.00
T-22247,Monthly Testing October 2025 (Quote QD-1655),Strata Plan 722,"SP 722 - 167 Victoria Road, Bellevue Hill, NSW 2023",Repair,R DETECTION,Nu Unasa,2184.50,2554.43,369.93,14.48%,114.50,0.00,0.00,97.50,0.00,2184.50,2554.43,369.93,14.48%,0.00,2554.43,212.00,2554.43,2554.43,1972.50,0.00,0.00,0.00,-1972.50,,2.35,-305.50,1972.50,0.00,0.00,0.00
T-22477,Detection testing July 25 (Quote QD-1172),Excel Building Management,"SP 74405 - The Northerly - 717 Anzac Parade  Maroubra, NSW 2035",Repair,R DETECTION,Nu Unasa,515.00,843.50,328.50,38.94%,95.00,843.50,0.00,156.00,0.00,771.00,843.50,72.50,8.60%,0.00,843.50,251.00,0.00,0.00,520.00,0.00,0.00,0.00,-520.00,,4.00,-520.00,520.00,0.00,0.00,0.00
T-22478,Detection testing July 25 (Quote QD-1173),Excel Building Management,"SP 74790 - The Panorama - 717 Anzac Parade  Maroubra, NSW 2035",Repair,R DETECTION,Nu Unasa,515.00,843.50,328.50,38.94%,103.33,843.50,0.00,489.67,3.17,593.00,843.50,250.50,29.70%,3.17,843.50,593.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
T-23039,AFSS Inspection Report September 2025 (Quote QD-1614),Yao Kai Pty Ltd,"77 Scott Avenue, Leura, NSW 2780",Repair,R DETECTION,Gordon Jenkins,922.00,1195.28,273.28,22.86%,127.50,1195.28,1.00,770.00,0.00,1190.00,1195.28,5.28,0.44%,1.00,1195.28,897.50,0.00,0.00,292.50,0.00,0.00,0.00,-292.50,,2.25,-292.50,292.50,0.00,0.00,0.00
T-23206,AFSS Inspection Report November 2025 - FIP/EWIS (Quote QD-1754),CBIIP 28B Pty Ltd,"28 Britton Street, Smithfield",Repair,R DETECTION,Gordon Jenkins,1625.38,2098.79,473.41,22.56%,1040.17,2098.79,0.00,130.18,0.00,1285.18,2098.79,813.61,38.77%,0.00,2098.79,1170.35,0.00,0.00,114.83,0.00,0.00,0.00,-114.83,,0.88,-114.83,114.83,0.00,0.00,0.00
T-23677,FIP Defects from testing (Quote QD-1838),Sterilisation Technologies Australia Pty Ltd,"Frutex - 20 St Albans Road, Kingsgrove, NSW 2208",Repair,R DETECTION,John Minai,3307.38,4038.23,730.85,18.10%,1391.50,2910.01,0.00,1.00,0.00,3308.38,4038.23,729.85,18.07%,0.00,4038.23,1392.50,1128.22,1128.22,1915.88,0.00,0.00,0.00,-1915.88,,11.45,-1488.50,1915.88,0.00,0.00,0.00
T-25088,Sounder fault found during testing (Quote QD-1796),Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU210 - Gateway Industrial Estate - Building C - 209-211 Walters Road, Arndell Park, NSW 2148",Repair,R DETECTION,Gordon Jenkins,840.00,1040.00,200.00,19.23%,354.66,1040.00,0.00,632.00,0.00,1472.00,1040.00,-432.00,-41.54%,0.00,1040.00,986.66,0.00,0.00,485.34,0.00,0.00,0.00,-485.34,,3.73,-485.34,485.34,0.00,0.00,0.00
T-25374,Monthly Fire Indicator Panel defects (Quote QD-1863),Logos Property Management Pty Limited,"JOY Building - 78 Kent Road, Mascot NSW 2020",Repair,R DETECTION,John Minai,1130.00,1490.00,360.00,24.16%,0.00,0.00,0.00,0.00,0.00,1063.34,1490.00,426.66,28.63%,0.00,0.00,0.00,0.00,0.00,1063.34,1490.00,0.00,1490.00,426.66,28.63%,4.33,926.66,1063.34,1490.00,0.00,0.00
T-26002,Fire Panel Defects from Testing (Quote QD-1833),Australian Catholic Universities (ACU),"ACU - Building 600-650 - 25a Baker Road, Strathfield, NSW 2055",Repair,R DETECTION,Nu Unasa,4786.39,5834.71,1048.32,17.97%,0.00,0.00,0.00,369.96,0.00,5436.35,5834.71,398.36,6.83%,0.00,5834.71,369.96,5834.71,5834.71,5066.39,0.00,0.00,0.00,-5066.39,,13.50,-2275.00,5066.39,0.00,0.00,0.00
