"ID","Number","Invoice Ref","Created","Updated","Author","Description","Property Ref","Property","Branch","Client Ref","Client","Billing Card Ref","Billing Card Name","Date","Due Date","Days Overdue","Last Reminder Sent At","Subtotal","Tax","Total","Credit Total","Status","Task Ref","Task Name","Task ID","Task Status","Task Cost Centre","Task Category","Task Service Group"
23299,"U0006694","PO Number A20059_2600021","2026-04-16 08:11:37","2026-04-16 08:11:59","Casper Tavitian","","39432","45 Britton St, Smithfield","","","CBIIP 45B Pty Ltd","CO-2122","Centuria Property Funds","2026-04-16","2026-05-30","","","460.0000","46.0000","506.0000",0.00,"AUTHORISED","T-36632","FAS Fault","36632","COMPLETE","","Callout","R DETECTION"
23167,"U0006592","Kirill Katelenets - Email Monday 12.01.2026","2026-04-15 15:58:39","2026-04-16 08:32:19","Casper Tavitian","","39A478","Labour Council of NSW - 377-383 Sussex Street, Sydney, NSW 2000","","","Unions NSW Property and Services Limited","CO-504","Colliers International","2026-04-15","2026-05-30","","","460.0000","46.0000","506.0000",0.00,"AUTHORISED","T-28218","We had alarm activation on 7/01 in ground floor area","28218","COMPLETE","","Callout","R DETECTION"
23102,"U0006586","","2026-04-15 12:55:35","2026-04-16 10:38:51","Casper Tavitian","","39803","Pengton - 80 George Street, Parramatta, NSW 2150","","","Pengton No. 1 Pty Ltd ATF Pengton No. 1 Unit Trust","CO-038","C.B Richard Ellis Pty Ltd","2026-04-15","2026-05-30","","","590.0000","59.0000","649.0000",0.00,"AUTHORISED","T-40361","Call Out - FIP / EWIS PA Isolate/reset","40361","COMPLETE","","Callout","R DETECTION"
23069,"U0006584","","2026-04-15 10:48:00","2026-04-16 03:17:56","Casper Tavitian","","39A208","Gateway Business Park - Unit 3/9/10 - 63-79 Parramatta Road, Silverwater, NSW 2128","","Knight Frank Australia Pty Ltd","Cambooya Properties C/o Knight Frank Australia Pty Ltd","CO-070","Knight Frank Australia Pty","2026-04-15","2026-05-30","","","3190.0000","319.0000","3509.0000",0.00,"AUTHORISED","T-36829","SQ-0723 Works","36829","COMPLETE","","Repair","R DETECTION"
23035,"U0006582","PO RQD ","2026-04-15 09:37:11","2026-04-16 03:17:56","Casper Tavitian","","39A434","Metrolink Corporate Park - 197-201 Coward Street  Mascot, NSW 2020","","","The Trust Company (Australia) Ltd ATF Ascendas Business Park Trust No.1 C/- Colliers","CO-504","Colliers International","2026-04-15","2026-05-30","","","460.0000","46.0000","506.0000",0.00,"AUTHORISED","T-39997","Call Out - FAS Fault FIP","39997","COMPLETE","","Callout","R DETECTION"
23002,"U0006580","PO6654893_201010","2026-04-15 08:42:30","2026-04-16 12:03:12","Casper Tavitian","As per accepted defect quote QD-0598 dated 07-04-2025.","39A599","2A / 2B Culverston Road, Minto, NSW, 2566","","","The Trust Company Limited in its capacity as agent for CHPine ATF Minto Trust Bieson P/ L ATF the CHPIP Minto Trust","CO-038","C.B Richard Ellis Pty Ltd","2026-04-15","2026-05-30","","","590.0000","59.0000","649.0000",0.00,"AUTHORISED","T-12518","Monthly Defect Repairs (Quote QD-0598)","12518","COMPLETE","","Repair","R DETECTION"
22970,"U0006579","Work Order No: 335441 Purchase Order No: 585633","2026-04-14 16:01:21","2026-04-14 16:01:24","Casper Tavitian","","39399 AU181","Goodman AU181 -Homemaker Centre -  49-59 O'Riordan Street, Alexandria, NSW 2015","","","Goodman Property Services (Aust) Pty Limited SC01822","CO-074","Goodman Property Services (Aust) Pty Limited","2026-04-14","2026-05-30","","","460.0000","46.0000","506.0000",0.00,"DRAFT","T-32785","fault on fire panel","32785","COMPLETE","","Callout","R DETECTION"
22903,"U0006576","","2026-04-14 10:40:08","2026-04-16 03:17:56","Mariette Henderson","","P1094 Cranebrook Village","80 Borrowdale Way, Cranebrook","","210","C/- Savills (NSW) Pty Ltd","CO-1729","Savills ( NSW) Pty Ltd","2026-04-14","2026-05-30","","","320.0000","32.0000","352.0000",0.00,"AUTHORISED","T-33911","Attend to site Monday the 9/3/2026 for 1pm to carry out a one off test to the sprinkler systems x 2…","33911","COMPLETE","","I&T","R DETECTION"
22870,"U0006575","","2026-04-14 09:14:49","2026-04-16 03:17:56","Casper Tavitian","","39A578","40 Ricketty Road, Mascot, NSW 2020","","1097","Henderson & Horning Pty Ltd","CO-2500","Henderson & Horning Pty Ltd","2026-04-14","2026-05-30","","","460.0000","46.0000","506.0000",0.00,"PAID","T-32309","FIP Fault investigation","32309","COMPLETE","","Callout","R DETECTION"
22837,"U0006574","CWO0677535","2026-04-14 09:02:13","2026-04-16 03:17:56","Casper Tavitian","As per accepted defect quote QD-1881 dated 03-12-2025.","39A677","Mandarin Centre - 65 Albert Ave, Chatswood NSW 2067","","","Mandarin Developments Pty Ltd C-/ Colliers International (NSW) Pty Ltd","CO-504","Colliers International","2026-04-14","2026-05-30","","","2865.0000","286.5000","3151.5000",0.00,"AUTHORISED","T-33531","Fire Indicator Panel HVAC AFSS Defect repairs (Quote QD-1881)","33531","COMPLETE","","Repair","R DETECTION"
